Bo_gene	subgenome	At_gene
Bo5g010080	LF	AT1G09665
Bo5g010090	LF	AT1G09680
Bo5g010110	LF	AT1G09700
Bo5g010120	LF	AT1G09710
Bo5g010130	LF	AT1G09720
Bo5g010140	LF	AT1G09730
Bo5g010150	LF	AT1G09740
Bo5g010160	LF	AT1G09760
Bo5g010170	LF	AT1G09770
Bo5g010180	LF	AT1G09790
Bo5g010190	LF	AT1G09790
Bo5g010210	LF	AT1G09800
Bo5g010230	LF	AT1G09810
Bo5g010240	LF	AT1G09812
Bo5g010250	LF	AT1G09815
Bo5g010260	LF	AT1G09820
Bo5g010270	LF	AT1G09830
Bo5g010280	LF	AT1G09840
Bo5g010290	LF	AT1G09850
Bo5g010300	LF	AT1G09860
Bo5g010310	LF	AT1G09870
Bo5g010320	LF	AT1G09880
Bo5g010340	LF	AT1G09900
Bo5g010410	LF	AT1G09950
Bo5g010420	LF	AT1G09960
Bo5g010440	LF	AT1G09970
Bo5g010450	LF	AT1G09980
Bo5g010470	LF	AT1G10010
Bo5g010510	LF	AT1G10020
Bo5g010530	LF	AT1G10030
Bo5g010880	LF	AT1G10120
Bo5g010570	LF	AT1G10140
Bo5g010590	LF	AT1G10155
Bo5g010600	LF	AT1G10170
Bo5g010630	LF	AT1G10200
Bo5g010640	LF	AT1G10210
Bo5g010650	LF	AT1G10220
Bo5g010680	LF	AT1G10240
Bo5g010690	LF	AT1G10270
Bo5g010700	LF	AT1G10280
Bo5g010710	LF	AT1G10290
Bo5g010720	LF	AT1G10300
Bo5g010780	LF	AT1G10330
Bo5g010790	LF	AT1G10350
Bo5g010800	LF	AT1G10360
Bo5g010850	LF	AT1G10390
Bo5g010860	LF	AT1G10410
Bo5g010870	LF	AT1G10417
Bo5g010890	LF	AT1G10430
Bo5g010900	LF	AT1G10450
Bo5g010910	LF	AT1G10470
Bo5g011980	LF	AT1G10500
Bo5g012000	LF	AT1G10510
Bo5g012010	LF	AT1G10522
Bo5g012020	LF	AT1G10560
Bo5g012030	LF	AT1G10570
Bo5g012050	LF	AT1G10580
Bo5g012060	LF	AT1G10585
Bo5g012100	LF	AT1G10588
Bo5g012110	LF	AT1G10590
Bo5g012120	LF	AT1G10600
Bo5g012130	LF	AT1G10610
Bo5g012150	LF	AT1G10620
Bo5g012140	LF	AT1G10620
Bo5g012160	LF	AT1G10640
Bo5g012190	LF	AT1G10650
Bo5g012220	LF	AT1G10680
Bo5g013260	LF	AT1G10730
Bo5g010950	LF	AT1G10750
Bo5g013270	LF	AT1G10770
Bo5g013280	LF	AT1G10790
Bo5g013310	LF	AT1G10850
Bo5g013320	LF	AT1G10870
Bo5g013350	LF	AT1G10900
Bo5g013360	LF	AT1G10910
Bo5g013430	LF	AT1G11040
Bo5g013440	LF	AT1G11060
Bo5g013450	LF	AT1G11070
Bo5g013460	LF	AT1G11080
Bo5g013480	LF	AT1G11112
Bo5g013490	LF	AT1G11120
Bo5g013520	LF	AT1G11170
Bo5g013530	LF	AT1G11180
Bo5g013540	LF	AT1G11210
Bo5g013560	LF	AT1G11210
Bo5g013590	LF	AT1G11240
Bo5g013600	LF	AT1G11250
Bo5g013630	LF	AT1G11310
Bo5g013640	LF	AT1G11320
Bo5g014700	LF	AT1G11380
Bo5g014710	LF	AT1G11390
Bo5g014730	LF	AT1G11410
Bo5g014780	LF	AT1G11430
Bo5g014790	LF	AT1G11440
Bo5g014800	LF	AT1G11475
Bo5g014810	LF	AT1G11480
Bo5g014820	LF	AT1G11490
Bo5g014830	LF	AT1G11500
Bo5g014840	LF	AT1G11510
Bo5g014850	LF	AT1G11545
Bo5g014880	LF	AT1G11630
Bo5g014890	LF	AT1G11655
Bo5g014900	LF	AT1G11660
Bo5g014910	LF	AT1G11680
Bo5g014920	LF	AT1G11690
Bo5g014930	LF	AT1G11700
Bo5g014940	LF	AT1G11710
Bo5g014970	LF	AT1G11740
Bo5g014980	LF	AT1G11740
Bo5g015000	LF	AT1G11770
Bo5g017480	LF	AT1G11900
Bo5g017450	LF	AT1G11910
Bo5g017440	LF	AT1G11915
Bo5g017400	LF	AT1G11960
Bo5g017390	LF	AT1G11960
Bo5g017380	LF	AT1G11980
Bo5g017370	LF	AT1G11990
Bo5g017350	LF	AT1G12010
Bo5g017320	LF	AT1G12020
Bo5g017310	LF	AT1G12030
Bo5g017290	LF	AT1G12040
Bo5g017280	LF	AT1G12050
Bo5g017270	LF	AT1G12064
Bo5g017230	LF	AT1G12070
Bo5g017210	LF	AT1G12090
Bo5g017170	LF	AT1G12110
Bo5g017160	LF	AT1G12120
Bo5g017140	LF	AT1G12230
Bo5g017130	LF	AT1G12240
Bo5g017120	LF	AT1G12260
Bo5g016980	LF	AT1G12310
Bo5g016930	LF	AT1G12380
Bo5g016890	LF	AT1G12420
Bo5g016880	LF	AT1G12430
Bo5g016870	LF	AT1G12450
Bo5g016860	LF	AT1G12460
Bo5g016850	LF	AT1G12470
Bo5g016840	LF	AT1G12480
Bo5g016830	LF	AT1G12500
Bo5g016780	LF	AT1G12560
Bo5g016760	LF	AT1G12570
Bo5g016750	LF	AT1G12610
Bo5g016740	LF	AT1G12640
Bo5g016710	LF	AT1G12680
Bo5g016700	LF	AT1G12710
Bo5g016660	LF	AT1G12750
Bo5g016630	LF	AT1G12800
Bo5g016600	LF	AT1G12805
Bo5g016590	LF	AT1G12840
Bo5g016580	LF	AT1G12845
Bo5g016490	LF	AT1G12860
Bo5g016470	LF	AT1G12880
Bo5g016460	LF	AT1G12900
Bo5g017500	LF	AT1G12900
Bo5g016450	LF	AT1G12920
Bo5g016400	LF	AT1G12980
Bo5g015350	LF	AT1G13080
Bo5g015330	LF	AT1G13120
Bo5g015320	LF	AT1G13130
Bo5g015310	LF	AT1G13140
Bo5g015300	LF	AT1G13170
Bo5g015280	LF	AT1G13195
Bo5g015270	LF	AT1G13210
Bo5g015240	LF	AT1G13250
Bo5g015210	LF	AT1G13260
Bo5g015200	LF	AT1G13290
Bo5g015170	LF	AT1G13300
Bo5g015120	LF	AT1G13330
Bo5g015160	LF	AT1G13330
Bo5g015060	LF	AT1G13360
Bo5g015050	LF	AT1G13380
Bo5g015040	LF	AT1G13390
Bo5g017510	LF	AT1G13450
Bo5g017520	LF	AT1G13460
Bo5g017540	LF	AT1G13560
Bo5g017550	LF	AT1G13570
Bo5g017560	LF	AT1G13590
Bo5g017580	LF	AT1G13600
Bo5g017590	LF	AT1G13605
Bo5g017650	LF	AT1G13610
Bo5g017660	LF	AT1G13620
Bo5g017680	LF	AT1G13630
Bo5g017670	LF	AT1G13630
Bo5g017690	LF	AT1G13635
Bo5g017710	LF	AT1G13670
Bo5g017720	LF	AT1G13680
Bo5g017730	LF	AT1G13690
Bo5g017750	LF	AT1G13710
Bo5g017790	LF	AT1G13730
Bo5g017800	LF	AT1G13740
Bo5g017810	LF	AT1G13750
Bo5g017820	LF	AT1G13770
Bo5g017830	LF	AT1G13780
Bo5g017860	LF	AT1G13800
Bo5g017870	LF	AT1G13820
Bo5g017880	LF	AT1G13830
Bo5g017910	LF	AT1G13900
Bo5g017940	LF	AT1G13920
Bo5g017950	LF	AT1G13970
Bo5g017960	LF	AT1G13980
Bo5g017970	LF	AT1G13990
Bo5g017980	LF	AT1G14000
Bo5g018000	LF	AT1G14020
Bo5g019300	LF	AT1G14150
Bo5g019310	LF	AT1G14170
Bo5g019340	LF	AT1G14200
Bo5g019350	LF	AT1G14230
Bo5g019370	LF	AT1G14260
Bo5g019380	LF	AT1G14270
Bo5g019390	LF	AT1G14280
Bo5g019410	LF	AT1G14310
Bo5g019420	LF	AT1G14320
Bo5g019480	LF	AT1G14330
Bo5g019500	LF	AT1G14350
Bo5g019510	LF	AT1G14370
Bo5g019550	LF	AT1G14390
Bo5g019580	LF	AT1G14430
Bo5g019590	LF	AT1G14440
Bo5g019610	LF	AT1G14450
Bo5g019630	LF	AT1G14460
Bo5g019710	LF	AT1G14490
Bo5g019720	LF	AT1G14510
Bo5g019730	LF	AT1G14520
Bo5g019740	LF	AT1G14530
Bo5g019760	LF	AT1G14540
Bo5g019770	LF	AT1G14560
Bo5g019810	LF	AT1G14600
Bo5g019840	LF	AT1G14610
Bo5g019850	LF	AT1G14630
Bo5g019860	LF	AT1G14640
Bo5g019870	LF	AT1G14660
Bo5g019940	LF	AT1G14686
Bo5g019950	LF	AT1G14710
Bo5g019960	LF	AT1G14730
Bo5g019970	LF	AT1G14740
Bo5g019980	LF	AT1G14750
Bo5g020010	LF	AT1G14760
Bo5g020020	LF	AT1G14770
Bo5g020030	LF	AT1G14780
Bo5g020040	LF	AT1G14790
Bo5g020100	LF	AT1G14820
Bo5g020160	LF	AT1G14850
Bo5g020190	LF	AT1G14860
Bo5g020270	LF	AT1G14870
Bo5g020280	LF	AT1G14890
Bo5g020290	LF	AT1G14910
Bo5g020330	LF	AT1G14930
Bo5g020380	LF	AT1G14970
Bo5g020390	LF	AT1G14980
Bo5g020400	LF	AT1G14990
Bo5g020410	LF	AT1G15000
Bo5g020470	LF	AT1G15000
Bo5g020480	LF	AT1G15010
Bo5g020490	LF	AT1G15020
Bo5g020500	LF	AT1G15030
Bo5g020510	LF	AT1G15040
Bo5g020520	LF	AT1G15050
Bo5g020530	LF	AT1G15100
Bo5g020560	LF	AT1G15125
Bo5g020570	LF	AT1G15130
Bo5g020580	LF	AT1G15140
Bo5g020600	LF	AT1G15190
Bo5g020610	LF	AT1G15200
Bo5g020620	LF	AT1G15210
Bo5g020650	LF	AT1G15215
Bo5g020660	LF	AT1G15220
Bo5g020670	LF	AT1G15230
Bo5g020700	LF	AT1G15270
Bo5g020720	LF	AT1G15280
Bo5g020730	LF	AT1G15290
Bo5g020750	LF	AT1G15310
Bo5g020760	LF	AT1G15320
Bo5g020770	LF	AT1G15330
Bo5g020790	LF	AT1G15360
Bo5g020800	LF	AT1G15370
Bo5g020810	LF	AT1G15380
Bo5g020850	LF	AT1G15390
Bo5g020860	LF	AT1G15400
Bo5g020870	LF	AT1G15410
Bo5g020880	LF	AT1G15415
Bo5g020900	LF	AT1G15430
Bo5g020980	LF	AT1G15490
Bo5g021020	LF	AT1G15500
Bo5g021030	LF	AT1G15510
Bo5g021040	LF	AT1G15520
Bo5g021050	LF	AT1G15540
Bo5g021060	LF	AT1G15550
Bo5g021100	LF	AT1G15570
Bo5g021110	LF	AT1G15600
Bo5g021130	LF	AT1G15660
Bo5g021140	LF	AT1G15670
Bo5g021160	LF	AT1G15730
Bo5g021170	LF	AT1G15740
Bo5g021180	LF	AT1G15750
Bo5g021240	LF	AT1G15760
Bo5g021270	LF	AT1G15800
Bo5g021350	LF	AT1G15800
Bo5g021360	LF	AT1G15810
Bo5g021370	LF	AT1G15825
Bo5g021380	LF	AT1G15860
Bo5g021390	LF	AT1G15860
Bo5g021400	LF	AT1G15870
Bo5g021410	LF	AT1G15880
Bo5g021440	LF	AT1G15940
Bo5g021450	LF	AT1G15960
Bo5g021490	LF	AT1G16022
Bo5g021500	LF	AT1G16030
Bo5g021520	LF	AT1G16060
Bo5g021530	LF	AT1G16070
Bo5g021550	LF	AT1G16170
Bo5g021590	LF	AT1G16190
Bo5g021600	LF	AT1G16220
Bo5g021610	LF	AT1G16225
Bo5g021630	LF	AT1G16270
Bo5g021640	LF	AT1G16280
Bo5g021660	LF	AT1G16290
Bo5g021670	LF	AT1G16300
Bo5g021680	LF	AT1G16310
Bo5g021690	LF	AT1G16320
Bo5g021730	LF	AT1G16350
Bo5g021740	LF	AT1G16370
Bo5g021810	LF	AT1G16400
Bo5g021860	LF	AT1G16460
Bo5g021890	LF	AT1G16490
Bo5g021920	LF	AT1G16500
Bo5g021950	LF	AT1G16510
Bo5g021970	LF	AT1G16520
Bo5g021980	LF	AT1G16530
Bo5g021990	LF	AT1G16540
Bo5g022000	LF	AT1G16560
Bo5g022010	LF	AT1G16570
Bo5g022030	LF	AT1G16610
Bo5g022050	LF	AT1G16630
Bo5g022070	LF	AT1G16640
Bo5g022080	LF	AT1G16650
Bo5g022130	LF	AT1G16720
Bo5g022140	LF	AT1G16740
Bo5g022170	LF	AT1G16810
Bo5g022180	LF	AT1G16830
Bo5g022190	LF	AT1G16840
Bo5g022210	LF	AT1G16860
Bo5g022220	LF	AT1G16870
Bo5g022230	LF	AT1G16880
Bo5g022250	LF	AT1G16920
