gene	cabbage1	cabbage2	kale1	kale2	kale3	TO10001	TO10002	TO10003
Bo1g004860	Bo1g004860	391	938	1825	1538	1116	936	1664	1363
Bo1g004870	Bo1g004870	0	1	4	0	1	0	0	1
Bo1g004880	Bo1g004880	0	0	0	0	0	0	4	7
Bo1g004890	Bo1g004890	196	517	915	681	586	648	634	546
Bo1g004900	Bo1g004900	35	77	112	76	57	69	48	54
Bo1g004910	Bo1g004910	5	20	96	72	64	51	71	72
Bo1g004920	Bo1g004920	1	1	0	1	1	21	11	15
Bo1g004930	Bo1g004930	20	39	146	57	69	75	101	97
Bo1g004940	Bo1g004940	45	91	172	90	50	84	122	91
Bo1g004950	Bo1g004950	0	0	0	0	1	0	5	2
Bo1g004960	Bo1g004960	96	312	250	202	107	230	233	233
Bo1g004970	Bo1g004970	4	3	2	2	3	8	19	20
Bo1g004980	Bo1g004980	0	3	3	0	1	1	7	18
Bo1g005010	Bo1g005010	0	0	1	6	1	1	3	4
Bo1g005020	Bo1g005020	74	196	287	172	123	237	279	293
Bo1g005030	Bo1g005030	111	271	556	395	356	716	613	638
Bo1g005040	Bo1g005040	8	6	2	1	0	9	25	41
Bo1g005050	Bo1g005050	0	0	0	0	1	2	0	1
Bo1g005060	Bo1g005060	159	362	345	214	172	245	338	278
Bo1g005070	Bo1g005070	7	5	2	3	4	2	5	2
Bo1g005080	Bo1g005080	0	0	0	0	1	0	4	0
Bo1g005090	Bo1g005090	0	4	0	1	2	0	1	0
Bo1g005100	Bo1g005100	2	0	0	0	0	0	1	1
Bo1g005110	Bo1g005110	0	0	0	0	0	0	3	1
Bo1g005120	Bo1g005120	0	0	0	0	3	2	10	1
Bo1g005130	Bo1g005130	3	16	22	18	6	9	12	23
Bo1g005150	Bo1g005150	2	5	12	13	12	4	5	2
Bo1g005160	Bo1g005160	32	117	136	87	74	251	350	334
Bo1g005170	Bo1g005170	21	86	100	83	44	46	66	83
Bo1g005180	Bo1g005180	6	37	23	21	16	126	146	93
Bo1g005200	Bo1g005200	58	208	145	114	87	30	31	30
Bo1g005210	Bo1g005210	135	312	164	167	93	233	284	226
Bo1g005220	Bo1g005220	25	54	65	58	56	82	110	93
Bo1g005230	Bo1g005230	33	121	274	145	99	229	246	237
Bo1g005240	Bo1g005240	37	63	84	65	60	40	92	60
Bo1g005250	Bo1g005250	32	127	138	99	63	120	155	131
Bo1g005260	Bo1g005260	0	0	2	0	3	1	13	6
Bo1g005270	Bo1g005270	18	49	73	61	62	59	88	81
Bo1g005280	Bo1g005280	213	720	1069	428	437	445	469	323
Bo1g005290	Bo1g005290	285	478	658	444	281	606	762	663
Bo1g005300	Bo1g005300	124	427	216	150	88	223	321	294
Bo1g005320	Bo1g005320	13	58	43	43	28	57	51	52
Bo1g005330	Bo1g005330	27	82	161	124	101	182	164	154
Bo1g005340	Bo1g005340	0	0	0	0	2	2	1	2
Bo1g005350	Bo1g005350	43	126	224	170	96	203	159	185
Bo1g005360	Bo1g005360	1	3	49	29	39	96	87	85
Bo1g005370	Bo1g005370	0	2	2	2	3	7	8	5
Bo1g005380	Bo1g005380	60	59	208	116	139	349	572	675
Bo1g005390	Bo1g005390	22	41	100	78	57	77	96	111
Bo1g005400	Bo1g005400	119	299	357	184	147	186	340	308
Bo1g005410	Bo1g005410	1	0	1	3	5	3	6	6
Bo1g005420	Bo1g005420	4	11	67	44	33	7	6	4
Bo1g005430	Bo1g005430	1	5	4	2	6	3	16	13
Bo1g005450	Bo1g005450	3	22	17	13	8	5	14	7
Bo1g005460	Bo1g005460	135	291	250	143	102	211	273	215
Bo1g005470	Bo1g005470	6	6	5	4	10	30	78	93
Bo1g005480	Bo1g005480	0	0	0	0	3	0	5	1
Bo1g005490	Bo1g005490	39	100	343	163	119	99	129	122
Bo1g005500	Bo1g005500	6	21	20	2	6	2	3	3
Bo1g005510	Bo1g005510	39	88	245	117	90	205	225	185
Bo1g005520	Bo1g005520	146	282	227	179	111	336	341	283
Bo1g005530	Bo1g005530	7	12	7	3	3	8	14	8
Bo1g005540	Bo1g005540	0	3	1	1	0	1	1	3
Bo1g005550	Bo1g005550	18	58	5	2	3	38	41	52
Bo1g005560	Bo1g005560	1	9	9	16	12	26	13	23
Bo1g005570	Bo1g005570	6	21	4	3	0	17	41	29
Bo1g005580	Bo1g005580	26	70	23	11	19	48	24	30
Bo1g005590	Bo1g005590	447	897	1364	993	783	978	1069	986
Bo1g005600	Bo1g005600	16	60	67	34	43	147	196	170
Bo1g005610	Bo1g005610	0	0	0	2	0	0	3	2
Bo1g005620	Bo1g005620	0	2	0	0	2	0	1	1
Bo1g005630	Bo1g005630	11	34	37	24	37	25	25	13
Bo1g005640	Bo1g005640	13	34	62	19	14	43	56	42
Bo1g005650	Bo1g005650	1	0	0	0	3	1	1	3
Bo1g005660	Bo1g005660	173	557	263	213	125	234	251	256
Bo1g005670	Bo1g005670	0	2	0	0	1	5	6	6
Bo1g005680	Bo1g005680	0	0	0	0	2	0	1	0
Bo1g005690	Bo1g005690	232	494	959	772	497	1234	1184	1201
Bo1g005700	Bo1g005700	0	1	4	1	6	11	3	5
Bo1g005710	Bo1g005710	169	573	1274	989	709	760	815	795
Bo1g005720	Bo1g005720	96	443	211	142	101	194	173	164
Bo1g005730	Bo1g005730	0	1	4	2	2	3	4	1
Bo1g005740	Bo1g005740	210	400	657	800	387	258	239	239
Bo1g005750	Bo1g005750	21	49	40	40	43	55	93	118
Bo1g005760	Bo1g005760	0	2	1	2	1	1	4	4
Bo1g005770	Bo1g005770	575	1850	1669	1398	892	921	1229	1237
Bo1g005780	Bo1g005780	79	255	254	244	182	251	263	221
Bo1g005790	Bo1g005790	104	327	262	186	149	233	311	293
Bo1g005800	Bo1g005800	21	63	122	107	89	217	220	217
Bo1g005810	Bo1g005810	11	44	27	17	7	30	32	22
Bo1g005820	Bo1g005820	0	1	6	6	4	0	0	0
Bo1g005830	Bo1g005830	0	0	5	10	12	7	14	6
Bo1g005840	Bo1g005840	0	0	29	9	12	3	2	0
Bo1g005850	Bo1g005850	5	29	6	3	6	42	62	49
Bo1g005860	Bo1g005860	81	254	60	48	30	132	206	168
Bo1g005880	Bo1g005880	79	186	34	21	20	58	73	85
Bo1g005890	Bo1g005890	0	0	10	6	6	1	0	0
Bo1g005900	Bo1g005900	1	2	4	6	3	2	3	1
Bo1g005910	Bo1g005910	1666	3230	3022	3257	1462	3236	4821	4200
Bo1g005920	Bo1g005920	8	43	34	29	10	64	50	51
Bo1g005930	Bo1g005930	0	0	3	1	1	0	1	0
Bo1g005940	Bo1g005940	39	108	144	77	50	94	130	92
Bo1g005950	Bo1g005950	0	1	0	1	5	4	4	11
Bo1g005960	Bo1g005960	21	63	73	45	54	111	118	109
Bo1g005970	Bo1g005970	8	19	2	0	0	27	40	19
Bo1g005980	Bo1g005980	122	419	124	77	63	724	593	580
Bo1g005990	Bo1g005990	149	296	700	338	508	383	668	617
Bo1g006000	Bo1g006000	53	84	119	65	75	565	662	760
Bo1g006030	Bo1g006030	0	1	0	0	0	0	3	1
Bo1g006040	Bo1g006040	30	72	33	26	23	293	371	393
Bo1g006050	Bo1g006050	105	200	75	69	37	169	182	149
Bo1g006060	Bo1g006060	33	53	56	42	37	24	54	30
Bo1g006070	Bo1g006070	0	1	1	0	12	3	22	14
Bo1g006080	Bo1g006080	6	21	41	16	22	29	58	34
Bo1g006090	Bo1g006090	261	687	461	343	240	457	536	498
Bo1g006100	Bo1g006100	1	9	6	6	4	9	13	9
Bo1g006110	Bo1g006110	1	2	8	15	6	9	20	18
Bo1g006120	Bo1g006120	58	123	185	118	91	178	215	212
Bo1g006130	Bo1g006130	83	146	138	103	53	144	174	188
Bo1g006140	Bo1g006140	137	378	408	359	204	292	381	289
Bo1g006150	Bo1g006150	46	135	224	124	84	137	164	136
Bo1g006160	Bo1g006160	140	312	674	596	458	503	557	515
Bo1g006170	Bo1g006170	5	5	8	3	5	24	26	30
Bo1g006180	Bo1g006180	0	0	0	0	1	2	1	2
Bo1g006190	Bo1g006190	0	0	0	2	3	0	0	0
Bo1g006200	Bo1g006200	0	3	5	0	0	1	1	2
Bo1g006210	Bo1g006210	1	1	3	3	24	21	54	51
Bo1g006220	Bo1g006220	58	139	174	97	115	283	269	268
Bo1g006230	Bo1g006230	19	35	28	19	25	7	8	7
Bo1g006240	Bo1g006240	7	42	133	91	89	5	6	4
Bo1g006250	Bo1g006250	131	343	484	313	236	265	265	272
Bo1g006260	Bo1g006260	350	934	493	234	186	461	715	654
Bo1g006270	Bo1g006270	184	383	355	254	151	409	567	548
Bo1g006280	Bo1g006280	0	0	0	1	3	2	6	4
Bo1g006290	Bo1g006290	0	0	0	1	3	0	2	1
Bo1g006300	Bo1g006300	12	66	43	15	10	2	2	2
Bo1g006310	Bo1g006310	1	4	0	0	0	0	0	1
Bo1g006320	Bo1g006320	0	0	0	0	3	1	2	7
Bo1g006330	Bo1g006330	4	14	29	17	9	24	27	22
Bo1g006340	Bo1g006340	19	79	55	30	18	46	40	41
Bo1g006350	Bo1g006350	0	0	0	1	1	0	0	0
Bo1g006360	Bo1g006360	343	744	437	383	211	461	574	399
Bo1g006370	Bo1g006370	126	298	179	155	87	227	307	277
Bo1g006380	Bo1g006380	5	7	20	5	17	13	22	19
Bo1g006390	Bo1g006390	6	20	8	5	7	31	25	11
Bo1g006400	Bo1g006400	12	29	6	2	3	18	13	14
Bo1g006410	Bo1g006410	33	106	87	51	48	57	129	121
Bo1g006420	Bo1g006420	19	48	44	25	16	25	46	26
Bo1g006430	Bo1g006430	134	429	404	256	236	395	419	429
Bo1g006440	Bo1g006440	1181	2257	2641	1637	1170	2299	2791	2562
Bo1g006450	Bo1g006450	26	65	124	105	107	108	125	106
Bo1g006460	Bo1g006460	4	4	2	1	4	1	1	0
Bo1g006470	Bo1g006470	1	2	3	2	6	0	4	4
Bo1g006480	Bo1g006480	0	0	3	3	3	0	4	5
Bo1g006490	Bo1g006490	63	160	155	116	69	69	122	87
Bo1g006500	Bo1g006500	0	0	0	2	1	3	9	9
Bo1g006510	Bo1g006510	0	2	3	3	6	12	17	22
Bo1g006520	Bo1g006520	0	0	0	0	1	0	2	1
Bo1g006530	Bo1g006530	65	308	195	277	104	122	205	161
Bo1g006540	Bo1g006540	126	193	130	112	49	219	190	149
Bo1g006550	Bo1g006550	228	690	880	705	437	629	556	490
Bo1g006560	Bo1g006560	89	155	280	133	234	323	391	367
Bo1g006570	Bo1g006570	39	99	229	95	92	99	111	97
Bo1g006580	Bo1g006580	16	46	27	12	10	2	1	0
Bo1g006590	Bo1g006590	1	0	0	1	2	2	1	1
Bo1g006600	Bo1g006600	22	71	77	85	63	99	97	71
Bo1g006610	Bo1g006610	48	69	146	87	62	297	375	334
Bo1g006620	Bo1g006620	166	374	405	262	193	288	368	316
Bo1g006630	Bo1g006630	38	46	106	48	72	130	161	177
Bo1g006640	Bo1g006640	174	425	185	153	134	349	392	404
Bo1g006650	Bo1g006650	358	854	1719	875	556	635	978	908
Bo1g006660	Bo1g006660	0	2	4	5	3	18	19	14
Bo1g006670	Bo1g006670	3	23	1	0	4	6	6	10
Bo1g006680	Bo1g006680	99	329	249	186	143	166	253	238
Bo1g006690	Bo1g006690	13	15	34	29	19	55	52	56
Bo1g006700	Bo1g006700	0	0	0	0	2	0	6	4
Bo1g006710	Bo1g006710	0	0	0	0	0	0	1	1
Bo1g006720	Bo1g006720	2	1	53	43	34	11	14	15
Bo1g006730	Bo1g006730	1524	3057	2011	2053	1102	2739	4160	3757
Bo1g006740	Bo1g006740	20	25	155	84	83	35	32	21
Bo1g006750	Bo1g006750	366	761	931	559	350	860	1248	1238
Bo1g006760	Bo1g006760	10	27	16	7	12	34	31	28
Bo1g006770	Bo1g006770	18	39	26	17	17	29	33	41
Bo1g006780	Bo1g006780	47	131	91	51	35	109	142	105
Bo1g006790	Bo1g006790	1	7	29	11	13	42	38	27
Bo1g006800	Bo1g006800	282	540	615	357	234	605	667	526
Bo1g006810	Bo1g006810	0	0	4	1	5	1	4	6
Bo1g006820	Bo1g006820	107	201	152	100	65	184	222	178
Bo1g006830	Bo1g006830	9	31	363	155	220	44	121	81
Bo1g006840	Bo1g006840	164	485	297	256	147	244	221	156
Bo1g006850	Bo1g006850	156	404	793	556	383	450	495	551
Bo1g006860	Bo1g006860	3	1	0	0	0	6	13	14
Bo1g006870	Bo1g006870	42	123	75	74	50	196	210	195
Bo1g006880	Bo1g006880	19	45	134	140	99	65	53	56
Bo1g006890	Bo1g006890	889	1041	1041	862	1301	3078	4930	4720
Bo1g006900	Bo1g006900	57	184	170	81	86	61	109	107
Bo1g006910	Bo1g006910	118	222	439	275	227	621	352	349
Bo1g006920	Bo1g006920	0	7	1	0	1	8	4	9
Bo1g006930	Bo1g006930	2	5	3	0	1	14	12	8
Bo1g006940	Bo1g006940	0	0	1	1	2	3	1	1
Bo1g006950	Bo1g006950	4	13	14	8	16	16	15	23
Bo1g006970	Bo1g006970	13	56	109	39	44	22	8	10
Bo1g006980	Bo1g006980	52	141	83	61	34	95	104	104
Bo1g006990	Bo1g006990	548	955	1514	896	599	1203	1586	1383
Bo1g007000	Bo1g007000	0	0	3	3	0	0	0	0
Bo1g007010	Bo1g007010	0	1	11	15	12	0	1	1
Bo1g007020	Bo1g007020	0	5	34	28	27	0	5	0
Bo1g007030	Bo1g007030	0	0	0	0	1	0	1	1
Bo1g007040	Bo1g007040	0	0	5	0	12	2	7	2
Bo1g007050	Bo1g007050	34	76	133	114	116	252	264	301
Bo1g007060	Bo1g007060	97	214	233	161	129	223	285	231
Bo1g007070	Bo1g007070	7	26	32	21	11	36	27	27
Bo1g007080	Bo1g007080	1226	2486	1803	1344	639	2410	3097	2739
Bo1g007090	Bo1g007090	81	233	244	170	118	220	239	197
Bo1g007100	Bo1g007100	203	535	332	208	146	268	308	276
Bo1g007110	Bo1g007110	577	1034	795	359	325	660	1175	1051
Bo1g007120	Bo1g007120	411	844	943	705	534	1038	1220	931
Bo1g007140	Bo1g007140	81	295	245	73	58	217	216	208
Bo1g007150	Bo1g007150	1	0	4	0	2	3	8	7
Bo1g007160	Bo1g007160	24	89	144	162	112	123	86	76
Bo1g007170	Bo1g007170	1	6	18	12	12	19	23	18
Bo1g007180	Bo1g007180	178	377	326	210	129	162	215	166
Bo1g007190	Bo1g007190	0	0	0	0	0	26	25	21
Bo1g007200	Bo1g007200	50	125	194	87	124	167	132	134
Bo1g007210	Bo1g007210	0	0	1	1	0	0	0	0
Bo1g007220	Bo1g007220	0	0	2	4	6	2	4	3
Bo1g007230	Bo1g007230	398	513	743	683	463	929	1015	952
Bo1g007240	Bo1g007240	268	555	849	475	349	451	557	536
Bo1g007250	Bo1g007250	109	313	375	318	198	315	416	353
Bo1g007260	Bo1g007260	187	480	706	774	507	926	1055	919
Bo1g007270	Bo1g007270	48	128	157	54	66	139	167	158
Bo1g007280	Bo1g007280	22	60	30	39	24	7	16	10
Bo1g007290	Bo1g007290	0	0	5	5	3	0	0	1
Bo1g007300	Bo1g007300	0	1	0	0	0	0	1	0
Bo1g007310	Bo1g007310	0	0	0	0	0	1	4	2
Bo1g007320	Bo1g007320	33	76	71	56	37	108	83	70
Bo1g007330	Bo1g007330	4	12	0	0	1	1	0	1
Bo1g007350	Bo1g007350	43	68	127	104	93	123	152	134
Bo1g007360	Bo1g007360	41	113	209	167	120	203	180	122
Bo1g007370	Bo1g007370	242	546	289	224	106	617	723	614
Bo1g007380	Bo1g007380	496	978	1354	865	697	816	991	911
Bo1g007390	Bo1g007390	38	86	95	78	32	87	112	108
Bo1g007400	Bo1g007400	17	26	52	45	37	58	72	57
Bo1g007410	Bo1g007410	111	135	221	143	143	874	1006	1206
Bo1g007420	Bo1g007420	8	68	112	91	74	142	120	118
Bo1g007430	Bo1g007430	211	583	681	459	237	636	1040	824
Bo1g007440	Bo1g007440	220	511	369	270	146	388	567	436
Bo1g007460	Bo1g007460	126	261	790	724	509	945	888	968
Bo1g007470	Bo1g007470	210	537	239	285	128	360	435	387
Bo1g007480	Bo1g007480	173	307	229	243	148	307	303	307
Bo1g007490	Bo1g007490	0	1	0	1	1	0	4	7
Bo1g007510	Bo1g007510	0	2	3	2	0	0	1	0
Bo1g007520	Bo1g007520	13	34	26	33	9	23	27	32
Bo1g007530	Bo1g007530	105	372	401	326	216	319	382	346
Bo1g007540	Bo1g007540	32	34	73	54	42	178	207	272
Bo1g007550	Bo1g007550	273	744	509	478	287	575	844	776
Bo1g007560	Bo1g007560	1169	2012	3805	2449	2059	2278	3034	2649
Bo1g007570	Bo1g007570	209	510	664	604	358	426	527	444
Bo1g007580	Bo1g007580	2	8	2	1	4	13	15	6
Bo1g007590	Bo1g007590	92	216	172	115	41	409	407	385
